Rank,Name,Industry,Revenue,Revenue_growth,Employees,Headquarters,Year,Type,Website,Latitude,Longitude,Number_of_subsidiaries,Age
1,Walmart,Retail,611289,6.7%,2100000,"Bentonville, Arkansas",1962,Public,https://www.walmart.com/,36.3728,-94.2089,400,61
2,Amazon,Retail and Cloud Computing,513983,9.4%,1540000,"Seattle, Washington",1994,Public,https://www.amazon.com/,47.6062,-122.3321,100,29
3,Exxon Mobil,Petroleum industry,41368,44.8%,62000,"Spring, Texas",1889,Public,https://corporate.exxonmobil.com/,30.0799,-95.4172,100,134
4,Apple,Electronics industry,394328,7.8%,164000,"Cupertino, California",1976,Public,https://apple.com/ua/,37.3229,-122.0321,20,47
5,UnitedHealth Group,Healthcare,324162,12.7%,400000,"Minnetonka, Minnesota",1977,Public,http://www.unitedhealthgroup.com/,44.9035,-93.456,40,46
6,CVS Health,Healthcare,322467,10.4%,259500,"Woonsocket, Rhode Island",1963,Public,http://cvshealth.com/,42.0003,-71.506,40,60
7,Berkshire Hathaway,Conglomerate,302089,9.4%,383000,"Omaha, Nebraska",1955,Public,https://www.berkshirehathaway.com/,41.2523,-95.9979,90,68
8,Alphabet,Technology,282836,9.8%,156000,"Mountain View, California",2015,Public,https://abc.xyz/,37.419,-122.0816,300,8
9,McKesson Corporation,Health,276711,4.8%,48500,"Irving, Texas",1833,Public,http://mckesson.com/,32.814,-96.9294,50,190
10,Chevron Corporation,Petroleum industry,246252,51.6%,43846,"San Ramon, California",1979,Public,https://www.chevron.com/,37.7859,-121.9781,100,44
11,AmerisourceBergen,Pharmaceutical industry,238587,11.5%,41500,"Chesterbrook, Pennsylvania",2001,Public,http://www.amerisourcebergen.com/,40.0442,-75.3891,50,22
12,Costco,Retail,226954,15.8%,304000,"Issaquah, Washington",1983,Public,https://www.costco.com/,47.5803,-122.0449,10,40
13,Microsoft,Technology,19827,18.0%,221000,"Redmond, Washington",1975,Public,https://www.microsoft.com/,47.6739,-122.1315,200,48
14,Cardinal Health,Healthcare,181364,11.6%,46035,"Dublin, Ohio",1971,Public,https://www.cardinalhealth.com/,40.1092,-83.1141,50,52
15,Cigna,Health Insurance,180516,3.7%,70231,"Bloomfield, Connecticut",1982,Public,http://cigna.com/,41.7792,-72.7657,20,41
16,Marathon Petroleum,Petroleum industry,180012,27.6%,17800,"Findlay, Ohio",2009,Public,https://www.marathonpetroleum.com/,41.0379,-83.6378,20,14
17,Phillips 66,Petroleum industry,175702,53.0%,13000,"Houston, Texas",2012,Public,https://www.phillips66.com/,29.7619,-95.3863,20,11
18,Valero Energy,Petroleum industry,171189,58.0%,9743,"San Antonio, Texas",1980,Public,http://www.valero.com/,29.4241,-98.4951,10,43
19,Ford Motor Company,Automotive industry,158057,15.9%,173000,"Dearborn, Michigan",1903,Public,http://ford.ua/,42.2933,-83.1766,10,120
20,The Home Depot,Retail,157403,4.1%,471600,"Atlanta, Georgia",1978,Public,https://www.homedepot.com/,33.7489,-84.3879,10,45
21,General Motors,Automotive,156735,23.4%,167000,"Detroit, Michigan",1908,Public,https://www.gm.com/,42.3314,-83.0457,10,115
22,Elevance Health,Healthcare,156595,13.0%,102200,"Indianapolis, Indiana",2004,Public,http://elevancehealth.com/,39.9611,-86.158,10,19
23,JPMorgan Chase,Financial services,154792,21.7%,293723,"New York City, New York",1968,Public,http://www.jpmorganchase.com/,40.7127,-74.0059,100,55
24,Kroger,Retail,148258,7.5%,430000,"Cincinnati, Ohio",1883,Public,http://www.thekrogerco.com/,39.1031,-84.512,10,140
25,Centene,Healthcare,144547,14.7%,74300,"St. Louis, Missouri",1984,Public,https://www.centene.com/,38.627,-90.1994,10,39
26,Verizon Communications,Telecommunications,136835,2.4%,117100,"New York City, New York",1983,Public,https://www.verizon.com/,40.7127,-74.0059,20,40
27,Walgreens Boots Alliance,Pharmaceutical industry,132703,10.7%,262500,"Deerfield, Illinois",2014,Public,http://walgreensbootsalliance.com/,42.1881,-87.8833,100,9
28,Fannie Mae,Financials,121596,19.7%,8000,"Washington, D.C.",1938,Public,https://www.fanniemae.com/,38.8951,-77.0366,1,85
29,Comcast,Telecommunications,121427,4.3%,186000,"Philadelphia, Pennsylvania",1963,Public,http://corporate.comcast.com/,39.9525,-75.1652,100,60
30,AT&T,Conglomerate,120741,28.5%,160700,"Dallas, Texas",1885,Public,http://att.com/,32.783,-96.7511,100,138
31,Meta Platforms,Technology,116609,1.1%,86482,"Menlo Park, California",2004,Public,https://meta.com/,37.4536,-122.1425,10,19
32,Bank of America,Financials,115053,22.6%,216823,"Charlotte, North Carolina",1998,Public,http://bankofamerica.com/,35.227,-80.8431,100,25
33,Target Corporation,Retail,10912,2.9%,440000,"Minneapolis, Minnesota",1902,Public,https://target.com/,44.9777,-93.265,10,121
34,Dell Technologies,Technology,102301,4.4%,133000,"Round Rock, Texas",2016,Public,http://dell.com/,30.501,-97.6766,10,7
35,Archer Daniels Midland,Food industry,101556,19.1%,41181,"Chicago, Illinois",1902,Public,http://adm.com/,41.8781,-87.6297,10,121
36,Citigroup,Financials,101078,26.6%,238104,"New York City, New York",1812,Public,http://www.citigroup.com/,40.7127,-74.0059,100,211
37,United Parcel Service,Transportation,100338,3.1%,404700,"Atlanta, Georgia",1907,Public,http://ups.com/,33.7489,-84.3879,100,116
38,Pfizer,Pharmaceutical industry,10033,23.4%,83000,"New York City, New York",1849,Public,http://www.pfizer.com/,40.7127,-74.0059,100,174
39,Lowe's,Retail,97059,0.8%,244500,"Mooresville, North Carolina",1921,Public,https://lowes.com/,35.5961,-80.8355,10,102
